Point_ID,Latitude,Longitude,Elevation_m,Slope_deg,NDVI,LandCover,Rainfall_mm,Dist_River_m,Flood,Event
P00001,-16.121651761057183,34.88753409087683,70.0,1.3909631,0.4357333333333333,40,227.13896083831787,200.6536492578786,0,Cyclone Bansi 2015
P00002,-15.867968427574827,34.29979721421336,385.0,0.48210534,0.5362333333333333,40,279.6597194671631,286.4998470761179,0,Cyclone Bansi 2015
P00003,-16.017895875070327,34.7733907542996,115.0,2.1402166,0.4824333333333333,30,236.57114696502686,947.201294076817,0,Cyclone Bansi 2015
P00004,-16.487993130389608,34.97513833436716,71.0,1.3398459,0.5462333333333333,40,163.06484198570251,230.76381935873493,0,Cyclone Bansi 2015
P00005,-16.191732065046264,34.514479343958506,264.0,3.3832793,0.6381666666666668,10,289.4754090309143,1984.9539943957514,0,Cyclone Bansi 2015
P00006,-16.413182796189417,34.62585266355234,243.0,2.510638,0.8047333333333333,30,241.42934846878052,3342.451969913461,0,Cyclone Bansi 2015
P00007,-16.55707128300956,34.782755575591914,278.0,1.7219385,0.7138333333333333,30,178.06252598762512,20.097683990893266,0,Cyclone Bansi 2015
P00008,-15.944779792721675,34.64689275047922,270.0,2.3670084,0.5372333333333333,10,313.4282684326172,4.134205905034642,0,Cyclone Bansi 2015
P00009,-16.20170992706418,34.423282135894745,281.0,1.3388251,0.7506,10,248.46710968017578,1623.3329435108726,0,Cyclone Bansi 2015
P00010,-16.527645709687835,34.77899840565292,261.0,1.0459409,0.7962666666666668,30,164.80949330329895,884.1300545842763,0,Cyclone Bansi 2015
P00011,-15.789536244754524,34.30587419374898,536.0,4.8460116,0.47916666666666674,30,296.4454393386841,448.65294989952207,0,Cyclone Bansi 2015
P00012,-16.2719608202759,34.84588040202563,72.0,0.66962785,0.4220666666666667,40,187.62592601776123,624.0405136908377,0,Cyclone Bansi 2015
P00013,-15.8270553203982,34.2791320334094,358.0,3.381279,0.4739333333333333,10,277.0420172214508,36.21017971864201,0,Cyclone Bansi 2015
P00014,-16.061090594302414,34.47483037832884,303.0,3.4057336,0.5594,10,295.4947862625122,1677.082863661787,0,Cyclone Bansi 2015
P00015,-16.196178020448972,34.520993131420994,275.0,4.0105786,0.8242333333333335,10,289.4754090309143,2147.3166748801827,0,Cyclone Bansi 2015
P00016,-16.351047107817045,34.97190698086667,59.0,1.9872196,0.3690333333333334,30,227.61399269104004,634.6222349278255,0,Cyclone Bansi 2015
P00017,-16.174720139277373,34.49415198918605,303.0,5.0060225,0.7031000000000001,10,287.5313811302185,1687.322905475716,0,Cyclone Bansi 2015
P00018,-15.92863899324958,34.37204493158786,254.0,3.3825436,0.5082333333333333,10,261.69337368011475,325.8920177279351,0,Cyclone Bansi 2015
P00019,-16.500912041605982,34.92263801285088,103.0,0.0,0.4799666666666667,30,148.54900646209717,53.790347643163884,0,Cyclone Bansi 2015
P00020,-15.998043889944935,34.86561172980395,531.0,7.8884068,0.7642333333333333,30,296.3908061981201,1350.8109008532997,0,Cyclone Bansi 2015
P00021,-16.61913587117229,34.92178819043894,299.0,5.11051,0.6540333333333334,20,195.14211082458496,1419.744645254107,0,Cyclone Bansi 2015
P00022,-16.08476438445121,34.88545165262904,86.0,1.4722515,0.45840000000000003,40,253.77135133743286,730.2088629685786,0,Cyclone Bansi 2015
P00023,-16.2415564558134,35.022904939412896,70.0,0.48301017,0.5375666666666667,30,236.97991752624512,1157.3175595880612,0,Cyclone Bansi 2015
P00024,-16.157099923042452,34.912643655822215,67.0,0.0,0.30793333333333334,10,223.8866822719574,137.44872418352463,0,Cyclone Bansi 2015
P00025,-16.22109180096732,34.92152378988003,66.0,0.66953826,0.44830000000000003,30,209.7717673778534,223.33554429758385,0,Cyclone Bansi 2015
P00026,-16.283920109602537,34.705031364302656,149.0,2.7323737,0.5608000000000001,30,246.95246505737305,977.0840194420724,0,Cyclone Bansi 2015
P00027,-16.20708078098698,34.523299830291315,231.0,0.9657855,0.8363333333333335,10,270.74961972236633,1248.9453251271223,0,Cyclone Bansi 2015
P00028,-16.45295099440166,35.040656022851984,54.0,1.0724064,0.5017,10,188.54348039627075,948.6591655413979,0,Cyclone Bansi 2015
P00029,-15.972872606370226,34.607047730360726,351.0,2.0899282,0.55,20,302.724791765213,397.21856015742713,0,Cyclone Bansi 2015
P00030,-15.862957261335072,34.80155071144243,445.0,15.67444,0.7370333333333333,30,281.2846872806549,59.54309540852239,0,Cyclone Bansi 2015
P00031,-16.51242956916818,34.95004668548837,96.0,0.92740995,0.5189,40,140.91322660446167,219.44438756952147,0,Cyclone Bansi 2015
P00032,-16.382862487444886,35.07147988574547,52.0,0.46373534,0.6667333333333333,10,247.0969681739807,231.712733095001,0,Cyclone Bansi 2015
P00033,-16.02268815263944,34.70159324990855,181.0,1.0453674,0.5174,30,274.76723623275757,294.724226124946,0,Cyclone Bansi 2015
P00034,-16.4040326208336,34.682805741645126,215.0,2.3174627,0.6688333333333333,10,225.49488735198975,1912.4509785131347,0,Cyclone Bansi 2015
P00035,-16.21266776897469,34.78075965494242,102.0,0.46373534,0.5239333333333334,10,240.40034675598145,307.2961229372685,0,Cyclone Bansi 2015
P00036,-16.46217814107841,35.04126600051539,52.0,1.3397518,0.38416666666666666,10,188.54348039627075,1359.7145557480926,0,Cyclone Bansi 2015
P00037,-15.967117952972508,34.835329837250654,426.0,14.398646,0.7562333333333333,20,281.2439603805542,1200.2503392894132,0,Cyclone Bansi 2015
P00038,-15.99879381317535,34.456391441132055,206.0,1.070397,0.5782333333333334,30,273.464497089386,755.9316630897509,0,Cyclone Bansi 2015
