Pixel_ID,Elevation_m,Slope_deg,NDVI,Rainfall_mm,Dist_River_m,Flood,LandCover_Agriculture,LandCover_Forest,LandCover_Urban,LandCover_Water
1,100,1.2,0.02,180,150,1,False,False,True,False
2,95,1.0,-0.05,205,25,1,False,False,False,True
3,210,9.4,0.72,95,1500,0,False,True,False,False
4,305,12.7,0.8,80,2200,0,False,True,False,False
5,132,3.5,0.22,160,260,1,False,False,True,False
6,170,6.8,0.5,120,750,0,True,False,False,False
7,95,1.0,-0.05,205,25,1,False,False,False,True
8,140,4.0,0.3,150,350,1,True,False,False,False
9,115,1.8,0.1,175,140,1,False,False,True,False
10,88,0.7,-0.1,210,15,1,False,False,False,True
11,120,2.5,0.35,165,200,1,True,False,False,False
12,120,2.5,0.35,165,200,1,True,False,False,False
13,118,2.2,0.2,175,220,1,False,False,True,False
14,210,9.4,0.72,95,1500,0,False,True,False,False
15,230,10.2,0.7,85,1700,0,False,True,False,False
16,310,13.5,0.82,70,2400,0,False,True,False,False
17,88,0.7,-0.1,210,15,1,False,False,False,True
18,92,0.8,-0.09,195,40,1,False,False,False,True
19,98,1.1,-0.08,190,30,1,False,False,False,True
20,305,12.7,0.8,80,2200,0,False,True,False,False
21,92,0.8,-0.09,195,40,1,False,False,False,True
22,145,4.2,0.55,120,800,0,False,True,False,False
23,145,4.2,0.55,120,800,0,False,True,False,False
24,250,11.0,0.75,90,1900,0,False,True,False,False
25,210,9.4,0.72,95,1500,0,False,True,False,False
26,170,6.8,0.5,120,750,0,True,False,False,False
27,250,11.0,0.75,90,1900,0,False,True,False,False
28,145,4.2,0.55,120,800,0,False,True,False,False
29,155,5.0,0.52,140,500,0,True,False,False,False
30,140,4.0,0.3,150,350,1,True,False,False,False
31,145,4.2,0.55,120,800,0,False,True,False,False
32,210,9.4,0.72,95,1500,0,False,True,False,False
33,102,1.3,0.05,170,180,1,False,False,True,False
34,102,1.3,0.05,170,180,1,False,False,True,False
35,110,2.1,0.12,180,120,1,False,False,True,False
36,145,4.2,0.55,120,800,0,False,True,False,False
37,90,0.9,-0.12,200,20,1,False,False,False,True
38,110,2.1,0.12,180,120,1,False,False,True,False
39,175,6.3,0.48,110,700,0,True,False,False,False
40,118,2.2,0.2,175,220,1,False,False,True,False
41,125,2.8,0.28,165,300,1,False,False,True,False
42,250,11.0,0.75,90,1900,0,False,True,False,False
43,92,0.8,-0.09,195,40,1,False,False,False,True
44,100,1.2,0.02,180,150,1,False,False,True,False
45,102,1.3,0.05,170,180,1,False,False,True,False
46,305,12.7,0.8,80,2200,0,False,True,False,False
47,175,6.3,0.48,110,700,0,True,False,False,False
48,230,10.2,0.7,85,1700,0,False,True,False,False
49,102,1.3,0.05,170,180,1,False,False,True,False
50,305,12.7,0.8,80,2200,0,False,True,False,False
51,90,0.9,-0.12,200,20,1,False,False,False,True
52,88,0.7,-0.1,210,15,1,False,False,False,True
53,125,2.8,0.28,165,300,1,False,False,True,False
54,185,7.1,0.44,130,600,0,True,False,False,False
55,125,2.8,0.28,165,300,1,False,False,True,False
56,102,1.3,0.05,170,180,1,False,False,True,False
57,100,1.2,0.02,180,150,1,False,False,True,False
58,175,6.3,0.48,110,700,0,True,False,False,False
59,88,0.7,-0.1,210,15,1,False,False,False,True
60,102,1.3,0.05,170,180,1,False,False,True,False
61,310,13.5,0.82,70,2400,0,False,True,False,False
62,118,2.2,0.2,175,220,1,False,False,True,False
63,250,11.0,0.75,90,1900,0,False,True,False,False
64,92,0.8,-0.09,195,40,1,False,False,False,True
65,132,3.5,0.22,160,260,1,False,False,True,False
66,92,0.8,-0.09,195,40,1,False,False,False,True
67,170,6.8,0.5,120,750,0,True,False,False,False
68,90,0.9,-0.12,200,20,1,False,False,False,True
69,90,0.9,-0.12,200,20,1,False,False,False,True
70,88,0.7,-0.1,210,15,1,False,False,False,True
71,90,0.9,-0.12,200,20,1,False,False,False,True
72,210,9.4,0.72,95,1500,0,False,True,False,False
73,145,4.2,0.55,120,800,0,False,True,False,False
74,90,0.9,-0.12,200,20,1,False,False,False,True
75,132,3.5,0.22,160,260,1,False,False,True,False
76,160,5.5,0.6,120,900,0,False,True,False,False
77,140,4.0,0.3,150,350,1,True,False,False,False
78,155,5.0,0.52,140,500,0,True,False,False,False
79,92,0.8,-0.09,195,40,1,False,False,False,True
80,118,2.2,0.2,175,220,1,False,False,True,False
81,230,10.2,0.7,85,1700,0,False,True,False,False
82,90,0.9,-0.12,200,20,1,False,False,False,True
83,310,13.5,0.82,70,2400,0,False,True,False,False
84,310,13.5,0.82,70,2400,0,False,True,False,False
85,140,4.0,0.3,150,350,1,True,False,False,False
86,115,1.8,0.1,175,140,1,False,False,True,False
87,170,6.8,0.5,120,750,0,True,False,False,False
88,115,1.8,0.1,175,140,1,False,False,True,False
89,175,6.3,0.48,110,700,0,True,False,False,False
90,160,5.5,0.6,120,900,0,False,True,False,False
91,145,4.2,0.55,120,800,0,False,True,False,False
92,110,2.1,0.12,180,120,1,False,False,True,False
93,160,5.5,0.6,120,900,0,False,True,False,False
94,95,1.0,-0.05,205,25,1,False,False,False,True
95,175,6.3,0.48,110,700,0,True,False,False,False
96,305,12.7,0.8,80,2200,0,False,True,False,False
97,95,1.0,-0.05,205,25,1,False,False,False,True
98,118,2.2,0.2,175,220,1,False,False,True,False
99,140,4.0,0.3,150,350,1,True,False,False,False
100,100,1.2,0.02,180,150,1,False,False,True,False
101,115,1.8,0.1,175,140,1,False,False,True,False
102,145,4.2,0.55,120,800,0,False,True,False,False
103,102,1.3,0.05,170,180,1,False,False,True,False
104,230,10.2,0.7,85,1700,0,False,True,False,False
105,170,6.8,0.5,120,750,0,True,False,False,False
106,170,6.8,0.5,120,750,0,True,False,False,False
107,145,4.2,0.55,120,800,0,False,True,False,False
108,90,0.9,-0.12,200,20,1,False,False,False,True
